input                                                                                                                                                    	(py)alib  	mata-old  	mona  	mata-sim  	automata  	(j)alib  	brics  	fado  	awali  	(py)mata  	vata  	mata  	  number
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata	false     	false     	-     	false     	false     	false    	false  	true  	false  	false     	false 	false 	       7
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata                                                                        	true      	true      	false 	true      	true      	true     	true   	nan   	true   	true      	true  	true  	       4
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-2-*.mata                                                                         	true      	true      	false 	true      	true      	true     	true   	true  	true   	true      	true  	true  	       5
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-10-*.mata                                                                           	false     	false     	true  	false     	false     	false    	false  	false 	false  	false     	false 	false 	      14
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-16-*.mata                                                                           	nan       	false     	true  	false     	false     	false    	false  	false 	false  	false     	false 	false 	       2
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-18-*.mata                                                                           	nan       	false     	true  	false     	false     	false    	false  	nan   	false  	false     	false 	false 	       4
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-22-*.mata                                                                           	nan       	false     	true  	nan       	false     	false    	false  	nan   	false  	false     	false 	false 	       4
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-26-*.mata                                                                           	nan       	false     	true  	nan       	false     	nan      	false  	nan   	false  	false     	false 	false 	      57
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-54-*.mata                                                                           	nan       	false     	true  	nan       	false     	nan      	false  	nan   	false  	false     	nan   	false 	      10
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-10-*.mata                                                                           	nan       	false     	true  	false     	false     	nan      	false  	false 	false  	false     	false 	false 	      16
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-17-*.mata                                                                           	nan       	false     	true  	false     	false     	nan      	false  	nan   	false  	false     	false 	false 	       6
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-40-*.mata                                                                           	nan       	false     	true  	nan       	false     	ERR      	false  	nan   	false  	false     	false 	false 	       1
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/tptp/ARI572_1.mata                                                                 	true      	true      	-     	true      	false     	true     	false  	true  	true   	true      	true  	true  	       4
/home/experiments/nfa-bench/benchmarks/presburger/complement/tptp/ARI572_1.mata                                                                          	true      	true      	false 	true      	true      	true     	false  	true  	true   	true      	true  	true  	       3
/home/experiments/nfa-bench/benchmarks/presburger/complement/tptp/NUM865_1.mata                                                                          	true      	true      	ERR   	true      	true      	true     	false  	true  	true   	true      	true  	true  	       1
